,subset
F0471,val
F0327,train
F0068,train
F0478,test
F0895,train
F0716,train
F0827,train
F0985,train
F0154,train
F0476,train
F0780,train
F0110,train
F0246,train
F0073,train
F0776,train
F0228,train
F0860,train
F0796,train
F0143,train
F0090,test
F0442,train
F0867,train
F0033,test
F0058,val
F0845,train
F0241,val
F0277,train
F0326,train
F0703,train
F0994,train
F0737,train
F0975,train
F0354,val
F0249,train
F0508,train
F0821,val
F0135,train
F0578,train
F0528,test
F0391,test
F0012,train
F0751,train
F0256,test
F0878,train
F0209,train
F0742,train
F0529,train
F0692,test
F0031,train
F0467,train
F0897,train
F0596,train
F0550,train
F0095,train
F0410,train
F0726,val
F1005,train
F0307,train
F1003,test
F0156,train
F0934,train
F0494,train
F0469,train
F0423,train
F0514,train
F0113,train
F0525,test
F0560,val
F0198,train
F0466,val
F0297,train
F0955,train
F0966,train
F0936,train
F0415,test
F0509,val
F0920,train
F0373,test
F0842,train
F0067,train
F0348,val
F0207,train
F0541,train
F0729,val
F0504,train
F0869,test
F0497,train
F0208,train
F0454,test
F0722,train
F0849,train
F0149,train
F0574,train
F0802,val
F0646,train
F0475,train
F0456,train
F0793,test
F1007,train
F0835,train
F0548,train
F0377,train
F0271,train
F0426,train
F0940,train
F0909,train
F0984,test
F0395,test
F0043,test
