person1,person2,relationship,family
Q1341997,Q44671,parent - child,4055
Q1068550,Q44683,parent - child,4735
Q887338,Q44690,parent - child,4273
Q109595288,Q44752,parent - child,495
Q1201395,Q44781,parent - child,5838
Q238402,Q44855,parent - child,542
Q361297,Q44855,parent - child,542
Q1729895,Q60934,parent - child,2282
Q66963,Q61041,parent - child,2340
Q61624,Q61041,parent - child,2340
Q713195,Q53944,parent - child,5417
Q156548,Q54386,parent - child,697
Q155394,Q54386,grandparent - child,697
Q61351,Q54386,grandparent - child,697
Q19943,Q54386,parent - child,697
Q235128,Q54386,grandparent - child,697
Q313857,Q54386,grandparent - child,697
Q7688725,Q54688,parent - child,2742
Q593919,Q54688,grandparent - child,2742
Q231259,Q54867,parent - child,1440
Q231259,Q54868,parent - child,1440
Q550045,Q55183,parent - child,768
Q208116,Q55207,parent - child,1525
Q208116,Q55208,parent - child,1525
Q9354507,Q55390,parent - child,3213
Q560197,Q55407,parent - child,155
Q3266318,Q55917,parent - child,4479
Q328667,Q55917,parent - child,4479
Q571803,Q55937,parent - child,1730
Q15473742,Q55964,parent - child,688
Q10665,Q56226,parent - child,1016
Q41117,Q56226,grandparent - child,1016
Q463949,Q56226,grandparent - child,1016
Q2566308,Q29342,parent - child,5382
Q7789441,Q31112,parent - child,1927
Q4200577,Q31543,parent - child,129
Q439841,Q32522,parent - child,5520
Q4130854,Q32620,parent - child,158
Q8071389,Q32732,parent - child,5194
Q766374,Q33605,parent - child,591
Q327424,Q34413,parent - child,189
Q131355,Q34413,parent - child,189
Q40064,Q34460,parent - child,1224
Q1670959,Q61460,parent - child,5876
Q949046,Q34253,parent - child,74
Q1367643,Q34253,grandparent - child,74
Q465702,Q34389,parent - child,4156
Q16089753,Q34896,parent - child,1182
Q153717,Q34896,parent - child,1182
Q2623520,Q36153,parent - child,3600
Q18676875,Q36233,parent - child,4466
Q194161,Q36740,parent - child,2713
Q16012101,Q36740,parent - child,2713
Q9685,Q36812,parent - child,502
Q43274,Q36812,parent - child,502
Q9682,Q36812,grandparent - child,502
Q80976,Q36812,grandparent - child,502
Q4267518,Q44903,parent - child,5064
Q4116923,Q44903,parent - child,5064
Q347374,Q45068,parent - child,1305
Q57626,Q45068,parent - child,1305
Q4494624,Q45088,parent - child,3101
Q694596,Q45230,parent - child,3514
Q506592,Q45362,parent - child,1052
Q5533114,Q45362,parent - child,1052
Q1609586,Q46018,parent - child,2731
Q1389230,Q46502,parent - child,4276
Q257217,Q47100,parent - child,619
Q316857,Q47100,parent - child,619
Q437710,Q47122,parent - child,185
Q122003,Q47122,parent - child,185
Q2869507,Q47139,parent - child,5764
Q723488,Q47213,parent - child,4945
Q33635,Q48622,parent - child,2326
Q379157,Q48622,parent - child,2326
Q269898,Q57464,parent - child,43
Q146906,Q57464,parent - child,43
Q4116074,Q57464,grandparent - child,43
Q294365,Q57464,grandparent - child,43
Q19300851,Q7747,parent - child,256
Q19300864,Q7747,parent - child,256
Q5359015,Q8440,parent - child,4464
Q15784029,Q8877,parent - child,1751
Q23034445,Q8927,parent - child,3977
Q7404563,Q9543,parent - child,3100
Q9575,Q9570,parent - child,2688
Q98491,Q61988,parent - child,3224
Q53453,Q56818,parent - child,986
Q66049,Q57183,parent - child,6070
Q356264,Q57269,parent - child,839
Q231281,Q57287,parent - child,1018
Q154912,Q57287,parent - child,1018
Q4919438,Q57319,parent - child,3270
Q160318,Q57319,parent - child,3270
Q4926056,Q57319,grandparent - child,3270
Q114899566,Q57327,parent - child,687
Q40512,Q57327,parent - child,687
Q879869,Q57331,parent - child,1802
Q444261,Q57340,parent - child,2595
Q309650,Q57352,parent - child,4877
Q63575,Q57355,parent - child,1081
Q311442,Q57355,grandparent - child,1081
Q237341,Q57355,grandparent - child,1081
Q66353,Q57364,parent - child,241
Q157451,Q57371,parent - child,1973
Q4062333,Q57371,parent - child,1973
Q2564518,Q57376,parent - child,266
Q200273,Q57376,parent - child,266
Q18049690,Q57376,grandparent - child,266
Q298020,Q57376,grandparent - child,266
Q135547,Q57416,parent - child,3299
Q219962,Q57449,parent - child,3864
Q7383270,Q57449,parent - child,3864
Q165674,Q57454,parent - child,49
Q255679,Q57454,parent - child,49
Q51139,Q51143,parent - child,5418
Q1338730,Q50612,parent - child,5979
Q3770384,Q47602,parent - child,1728
Q948705,Q47899,parent - child,910
Q808971,Q47899,grandparent - child,910
Q269846,Q47899,parent - child,910
Q15432349,Q48613,parent - child,4292
Q15432349,Q48617,parent - child,4292
Q379157,Q48619,parent - child,2326
Q49027,Q49026,parent - child,1122
Q3664119,Q49026,parent - child,1122
Q460202,Q49819,parent - child,2776
Q177588,Q50838,parent - child,1033
Q6304541,Q10125,parent - child,3696
Q4593,Q10218,parent - child,1546
Q554175,Q10218,grandparent - child,1546
Q1149,Q10218,grandparent - child,1546
Q163225,Q10218,parent - child,1546
Q4993396,Q10390,parent - child,1862
Q665850,Q10390,parent - child,1862
Q14244505,Q10479,parent - child,2303
Q14244952,Q10479,parent - child,2303
Q3128,Q10505,parent - child,2583
Q6224173,Q10510,parent - child,2793
Q41117,Q10665,parent - child,1016
Q463949,Q10665,parent - child,1016
Q1356412,Q10738,parent - child,28
Q22122581,Q10819,parent - child,1090
Q1103503,Q10837,parent - child,4667
Q3272839,Q10993,parent - child,4093
Q1959913,Q11459,parent - child,2836
Q7099217,Q11459,parent - child,2836
Q1959913,Q11578,parent - child,2836
Q7099217,Q11578,parent - child,2836
Q105078267,Q11581,parent - child,2175
Q327514,Q11607,parent - child,3630
Q521145,Q11673,parent - child,4421
Q2886807,Q11674,parent - child,5501
Q172083,Q57521,parent - child,5881
Q887243,Q57523,parent - child,1372
Q544951,Q57537,parent - child,898
Q69103,Q57553,parent - child,109
Q193874,Q57553,grandparent - child,109
Q131248,Q57643,parent - child,3392
Q1076140,Q57643,parent - child,3392
Q733312,Q57655,parent - child,4052
Q645228,Q57657,parent - child,2246
Q377977,Q57665,parent - child,863
Q13025801,Q57670,parent - child,3056
Q60452,Q63907,parent - child,3575
Q635489,Q64217,parent - child,4032
Q1090835,Q39805,parent - child,1655
Q2361659,Q40026,parent - child,5534
Q8877,Q40057,parent - child,1751
Q15784029,Q40057,grandparent - child,1751
Q40162,Q40057,parent - child,1751
Q172653,Q40103,parent - child,3020
Q655550,Q40262,parent - child,1253
Q979363,Q40503,parent - child,2029
Q12701632,Q57675,parent - child,4836
Q264516,Q57675,parent - child,4836
Q308215,Q57899,parent - child,3335
Q277665,Q58112,parent - child,1031
Q1395425,Q58112,grandparent - child,1031
Q3737725,Q58140,parent - child,4877
Q57352,Q58140,parent - child,4877
Q309650,Q58140,grandparent - child,4877
Q4120092,Q58156,parent - child,626
Q217167,Q58156,parent - child,626
Q114899566,Q58233,parent - child,687
Q40512,Q58233,parent - child,687
Q220991,Q58299,parent - child,5798
Q167846,Q58301,parent - child,826
Q26772600,Q58336,parent - child,1245
Q57558,Q58336,parent - child,1245
Q112062,Q58603,parent - child,2354
Q449296,Q69640,parent - child,2725
Q320813,Q70130,parent - child,486
Q230697,Q37979,parent - child,1145
Q34479,Q37979,parent - child,1145
Q291798,Q38351,parent - child,4471
Q173107,Q62018,parent - child,3305
Q1296712,Q62253,parent - child,1100
Q88430,Q62319,parent - child,397
Q3440008,Q62354,parent - child,5471
Q11951748,Q62361,parent - child,50
Q186692,Q62361,parent - child,50
Q57202,Q62496,parent - child,1473
Q2033547,Q62547,parent - child,5146
Q60045,Q62789,parent - child,2316
Q92144,Q63033,parent - child,165
Q57292,Q63033,parent - child,165
Q64106,Q70966,parent - child,5104
Q62346,Q71077,parent - child,1343
Q66553,Q71176,parent - child,3971
Q467676,Q64650,parent - child,210
Q90315,Q65126,parent - child,657
Q91337,Q65511,parent - child,3480
Q311442,Q63575,parent - child,1081
Q237341,Q63575,parent - child,1081
Q5294850,Q63587,parent - child,4730
Q13816180,Q62795,parent - child,3025
Q685581,Q62845,parent - child,3627
Q212957,Q62852,parent - child,1675
Q1559143,Q62852,parent - child,1675
Q112065,Q63228,parent - child,1778
Q235832,Q63284,parent - child,4117
Q648036,Q60304,parent - child,2690
Q438784,Q60304,grandparent - child,2690
Q3103681,Q60304,grandparent - child,2690
Q17278940,Q60772,parent - child,1785
Q69045,Q60772,parent - child,1785
Q2790139,Q60711,parent - child,649
Q954329,Q58073,parent - child,1156
Q4373161,Q58077,parent - child,602
Q728501,Q58121,parent - child,5973
Q3167186,Q58168,parent - child,1632
Q1166146,Q58190,parent - child,3508
Q1964821,Q58195,parent - child,1934
Q5582074,Q58260,parent - child,157
Q19936297,Q58449,parent - child,3657
Q725519,Q58735,parent - child,5285
Q708314,Q58760,parent - child,5370
Q536393,Q59635,parent - child,1008
Q61079,Q74913,parent - child,4499
Q3293631,Q75057,parent - child,5877
Q171381,Q75820,parent - child,3974
Q57733,Q75841,parent - child,132
Q72524,Q75900,parent - child,618
Q75882,Q75900,parent - child,618
Q11951748,Q71487,parent - child,50
Q186692,Q71487,parent - child,50
Q215856,Q71490,parent - child,5676
Q120145,Q71658,parent - child,6055
Q63284,Q71778,parent - child,4117
Q235832,Q71778,grandparent - child,4117
Q19749103,Q76156,parent - child,3870
Q981398,Q76167,parent - child,4938
Q76127,Q76179,parent - child,312
Q468519,Q76179,parent - child,312
Q55419,Q76711,parent - child,851
Q102772,Q76924,parent - child,2007
Q97122,Q76924,grandparent - child,2007
Q317568,Q78912,parent - child,5478
Q78689,Q79175,parent - child,3552
Q4387550,Q79231,parent - child,4820
Q79301,Q79294,parent - child,785
Q724549,Q80407,parent - child,1568
Q28736609,Q87485,parent - child,3282
Q916187,Q87768,parent - child,2695
Q1602452,Q87945,parent - child,3953
Q77335,Q77555,parent - child,520
Q76343,Q77555,parent - child,520
Q1806197,Q66843,parent - child,3620
Q65350,Q67039,parent - child,3200
Q60452,Q72612,parent - child,3575
Q65643427,Q72612,parent - child,3575
Q3624578,Q72716,parent - child,429
Q65906,Q72816,parent - child,3307
Q85910,Q73197,parent - child,867
Q159099,Q77100,parent - child,2643
Q443387,Q77100,grandparent - child,2643
Q1913787,Q88471,parent - child,2924
Q87436,Q88566,parent - child,5587
Q76021,Q88669,parent - child,3338
Q64726,Q88669,parent - child,3338
Q1894727,Q88719,parent - child,2129
Q84524,Q88719,grandparent - child,2129
Q66992,Q88917,parent - child,3385
Q84365,Q89182,parent - child,250
Q88587,Q89332,parent - child,1312
Q86150,Q89491,parent - child,2941
Q262013,Q73217,parent - child,3611
Q2571161,Q73626,parent - child,6141
Q60455,Q73662,parent - child,4392
Q315551,Q73942,parent - child,5390
Q120748,Q74144,parent - child,983
Q93075,Q74200,parent - child,1595
Q19689221,Q74200,grandparent - child,1595
Q1712106,Q74200,parent - child,1595
Q546941,Q74209,parent - child,494
Q61430,Q74398,parent - child,3002
Q66872,Q74817,parent - child,1667
Q60045,Q67704,parent - child,2316
Q58039,Q67917,parent - child,2212
Q14524660,Q68025,parent - child,2876
Q120426,Q68025,parent - child,2876
Q60452,Q68439,parent - child,3575
Q65643427,Q68439,parent - child,3575
Q10331778,Q74720,parent - child,1840
Q707440,Q81324,parent - child,945
Q4459837,Q81826,parent - child,330
Q14566152,Q82221,parent - child,3709
Q10320642,Q82275,parent - child,2202
Q6369927,Q82593,parent - child,4998
Q311126,Q82593,parent - child,4998
Q274064,Q82864,parent - child,3227
Q24350866,Q82918,parent - child,3954
Q1264337,Q83182,parent - child,5514
Q1701620,Q83677,parent - child,4914
Q3079387,Q84084,parent - child,2260
Q23048720,Q84199,parent - child,5780
Q207166,Q84272,parent - child,3474
Q2077184,Q68329,parent - child,2275
Q193874,Q69103,parent - child,109
Q318034,Q77550,parent - child,6136
Q311442,Q77937,parent - child,1081
Q237341,Q77937,parent - child,1081
Q91337,Q77968,parent - child,3480
Q1302365,Q78121,parent - child,88
Q69420,Q78201,parent - child,6167
Q21209,Q78328,parent - child,2468
Q44620,Q78415,parent - child,1854
Q1896920,Q78415,parent - child,1854
Q38302,Q78469,parent - child,1176
Q62327,Q78469,parent - child,1176
Q90266,Q78499,parent - child,716
Q77335,Q78515,parent - child,520
Q76343,Q78515,parent - child,520
Q1515457,Q89528,parent - child,3500
Q78388,Q89528,grandparent - child,3500
Q76876,Q89528,grandparent - child,3500
Q108918,Q89860,parent - child,1258
Q69640,Q90067,parent - child,2725
Q449296,Q90067,grandparent - child,2725
Q110415,Q90246,parent - child,641
Q887122,Q90246,parent - child,641
Q5359936,Q90250,parent - child,5867
Q95344779,Q90362,parent - child,5559
Q2514,Q99300,parent - child,3919
Q462355,Q99300,parent - child,3919
Q76357,Q99590,parent - child,525
Q1512020,Q100230,parent - child,473
Q626354,Q78216,parent - child,4239
Q15791692,Q78465,parent - child,3981
Q126856397,Q78495,parent - child,4308
Q78489,Q78556,parent - child,1747
Q41697,Q78622,parent - child,6001
Q90824,Q78661,parent - child,3651
Q1287372,Q84826,parent - child,2137
Q154331,Q85171,parent - child,6108
Q60093,Q92698,parent - child,213
Q1110920,Q92933,parent - child,829
Q5941748,Q93043,parent - child,5339
Q19689221,Q93075,parent - child,1595
Q2907977,Q93181,parent - child,3346
Q1324008,Q93563,parent - child,4021
Q2091723,Q93837,parent - child,4442
Q2617322,Q94234,parent - child,5529
Q87571,Q95292,parent - child,1144
Q69578,Q95292,parent - child,1144
Q92141,Q100307,parent - child,5749
Q285483,Q100440,parent - child,5103
Q1085958,Q100458,parent - child,5804
Q2063123,Q100501,parent - child,1131
Q2514,Q100504,parent - child,3919
Q462355,Q100504,parent - child,3919
Q57387,Q100781,parent - child,1205
Q2369091,Q101058,parent - child,5627
Q315584,Q101137,parent - child,3436
Q6538,Q101223,parent - child,1528
Q813263,Q101253,parent - child,997
Q112819,Q101381,parent - child,6041
Q77342,Q101397,parent - child,3076
Q1396109,Q101547,parent - child,3018
Q88763,Q101768,parent - child,1523
Q69054,Q91358,parent - child,4565
Q105544,Q91423,parent - child,3434
Q1294806,Q91876,parent - child,5429
Q57391,Q92071,parent - child,5769
Q1159234,Q92071,parent - child,5769
Q311442,Q105980,parent - child,1081
Q237341,Q105980,parent - child,1081
Q785404,Q106193,parent - child,1470
Q74042,Q106458,parent - child,503
Q1743081,Q106466,parent - child,4638
Q536635,Q106544,parent - child,2320
Q945890,Q106544,parent - child,2320
Q3524506,Q106690,parent - child,1890
Q2612977,Q106781,parent - child,3979
Q185546,Q106791,parent - child,1466
Q535012,Q106942,parent - child,1829
Q721957,Q106942,parent - child,1829
Q162389,Q106997,parent - child,499
Q205314,Q106997,parent - child,499
Q119923,Q107274,parent - child,2511
Q2502920,Q108610,parent - child,3377
Q1898946,Q108610,parent - child,3377
Q363708,Q108941,parent - child,3221
Q263696,Q108941,parent - child,3221
Q1699982,Q85361,parent - child,3437
Q111323,Q85361,grandparent - child,3437
Q109126,Q86136,parent - child,2257
Q879984,Q86202,parent - child,2424
Q86726,Q86270,parent - child,5140
Q1944444,Q86351,parent - child,6162
Q7964271,Q86589,parent - child,1926
Q89052,Q86655,parent - child,4895
Q76543,Q86835,parent - child,1499
Q1662812,Q95218,parent - child,5275
Q113489,Q95443,parent - child,5757
Q90824,Q95613,parent - child,3651
Q73195,Q96054,parent - child,1609
Q500470,Q96084,parent - child,3240
Q665856,Q96130,parent - child,2106
Q62352,Q96145,parent - child,2318
Q439043,Q96145,parent - child,2318
Q109722,Q102076,parent - child,4990
Q441889,Q102124,parent - child,2355
Q3247520,Q102124,parent - child,2355
Q163010,Q102139,parent - child,697
Q601726,Q102594,parent - child,1564
Q97122,Q102772,parent - child,2007
Q682961,Q102963,parent - child,2945
Q215582,Q103391,parent - child,1222
Q66703,Q103628,parent - child,1787
Q254850,Q103628,parent - child,1787
Q96054,Q103929,parent - child,1609
Q73195,Q103929,grandparent - child,1609
Q184572,Q103939,parent - child,3
Q103784,Q103946,parent - child,2481
Q6499562,Q107769,parent - child,5182
Q16219166,Q107933,parent - child,1215
Q16219163,Q107933,parent - child,1215
Q175277,Q107953,parent - child,1561
Q86498,Q108660,parent - child,2674
Q78936,Q109074,parent - child,1051
Q15815223,Q103380,parent - child,1943
Q3815699,Q103578,parent - child,1689
Q2004409,Q103646,parent - child,5509
Q1670081,Q104235,parent - child,1549
Q105487,Q104326,parent - child,3054
Q3080737,Q104326,parent - child,3054
Q1293014,Q104514,parent - child,4652
Q98069,Q104553,parent - child,310
Q61881,Q104665,parent - child,2873
Q1458336,Q96290,parent - child,126
Q916438,Q96627,parent - child,5178
Q1913939,Q96731,parent - child,202
Q255382,Q96731,grandparent - child,202
Q62602,Q96731,grandparent - child,202
Q6425396,Q96731,parent - child,202
Q86732,Q96731,grandparent - child,202
Q67344,Q96907,parent - child,1752
Q67362,Q96907,parent - child,1752
Q78769,Q97002,parent - child,5907
Q124582,Q120157,parent - child,6054
Q121142,Q120736,parent - child,3958
Q105757679,Q121287,parent - child,1049
Q185590,Q121504,parent - child,2594
Q12022686,Q121504,parent - child,2594
Q10625133,Q121564,parent - child,2931
Q456476,Q122024,parent - child,1672
Q55796,Q122024,parent - child,1672
Q186042,Q122461,parent - child,3580
Q110835,Q122719,parent - child,2365
Q110415,Q122876,parent - child,641
Q887122,Q122876,parent - child,641
Q1732135,Q122273,parent - child,3222
Q1164195,Q122824,parent - child,3077
Q562375,Q122988,parent - child,1375
Q5561294,Q123273,parent - child,706
Q2514,Q123309,parent - child,3919
Q462355,Q123309,parent - child,3919
Q21509161,Q123363,parent - child,6224
Q5415112,Q123665,parent - child,280
Q312539,Q123665,parent - child,280
Q1728021,Q123723,parent - child,846
Q103421,Q109304,parent - child,5604
Q58609,Q109379,parent - child,2767
Q481434,Q109431,parent - child,5924
Q90893,Q109595,parent - child,5065
Q807369,Q109595,parent - child,5065
Q100269,Q109608,parent - child,5183
Q62631,Q109677,parent - child,1544
Q108859,Q109677,parent - child,1544
Q88891,Q109867,parent - child,955
Q1569147,Q110462,parent - child,4472
Q100925,Q110855,parent - child,5864
Q86977,Q111005,parent - child,86
Q57387,Q111695,parent - child,1205
Q62414,Q111695,parent - child,1205
Q117124,Q123966,parent - child,5556
Q253596,Q124294,parent - child,3258
Q317182,Q124294,parent - child,3258
Q85310,Q124930,parent - child,3350
Q1377791,Q125017,parent - child,2969
Q623962,Q125017,parent - child,2969
Q98100003,Q125017,grandparent - child,2969
Q311442,Q125361,parent - child,1081
Q237341,Q125361,parent - child,1081
Q296283,Q126164,parent - child,749
Q534601,Q126164,parent - child,749
Q72868,Q126207,parent - child,1955
Q10501,Q126242,parent - child,3636
Q68152,Q105268,parent - child,1857
Q70772,Q105268,parent - child,1857
Q55721519,Q105756,parent - child,1630
Q559254,Q99114,parent - child,5516
Q106747,Q97380,parent - child,6104
Q501054,Q97673,parent - child,4933
Q107150,Q98256,parent - child,5256
Q86105,Q98622,parent - child,1818
Q62579,Q98835,parent - child,1708
Q102179,Q98909,parent - child,19
Q76841,Q98909,parent - child,19
Q105544,Q99147,parent - child,3434
Q6495834,Q171276,parent - child,105
Q60068,Q171276,parent - child,105
Q173221,Q171302,parent - child,5228
Q171312,Q171519,parent - child,4391
Q106255,Q171557,parent - child,2663
Q1775785,Q111320,parent - child,5376
Q19603604,Q111982,parent - child,3031
Q77335,Q112096,parent - child,520
Q76343,Q112096,parent - child,520
Q2508337,Q112145,parent - child,1220
Q68743,Q112607,parent - child,5592
Q2518,Q112607,parent - child,5592
Q320490,Q113007,parent - child,399
Q463164,Q113007,parent - child,399
Q188459,Q169946,parent - child,1863
Q2742575,Q169946,parent - child,1863
Q160770,Q170191,parent - child,1037
Q170184,Q170191,parent - child,1037
Q3911,Q170194,parent - child,87
Q12973,Q170194,grandparent - child,87
Q230238,Q170194,grandparent - child,87
Q31129,Q170194,parent - child,87
Q246915,Q170294,parent - child,2654
Q295696,Q170342,parent - child,3807
Q295678,Q170676,parent - child,980
Q967846,Q138351,parent - child,2666
Q3612429,Q138351,parent - child,2666
Q75619692,Q138351,grandparent - child,2666
Q2743754,Q138856,parent - child,2110
Q3164941,Q139052,parent - child,5845
Q7351964,Q139933,parent - child,1340
Q531718,Q141680,parent - child,2538
Q5487028,Q142216,parent - child,3444
Q16086276,Q142763,parent - child,4470
Q3293701,Q143945,parent - child,212
Q454863,Q144271,parent - child,1229
Q2632,Q144589,parent - child,531
Q1392049,Q144719,parent - child,2655
Q447879,Q145464,parent - child,2018
Q1146217,Q145464,parent - child,2018
Q10395087,Q145514,parent - child,1645
Q367901,Q125721,parent - child,140
Q187149,Q125721,grandparent - child,140
Q72919,Q125721,grandparent - child,140
Q439868,Q125721,parent - child,140
Q880817,Q125842,parent - child,22
Q15861027,Q126035,parent - child,3372
Q63343519,Q126348,parent - child,5073
Q2531955,Q126957,parent - child,2427
Q100904538,Q127125,parent - child,2852
Q127330,Q127548,parent - child,4140
Q1215800,Q128449,parent - child,3673
Q524772,Q128529,parent - child,4881
Q715348,Q128845,parent - child,4491
Q434702,Q128912,parent - child,4422
Q160770,Q158258,parent - child,1037
Q170184,Q158258,parent - child,1037
Q443387,Q159099,parent - child,2643
Q102139,Q159101,parent - child,697
Q163010,Q159101,grandparent - child,697
Q1389258,Q159101,parent - child,697
Q1391342,Q159178,parent - child,6122
Q2099997,Q159609,parent - child,171
Q2259222,Q159832,parent - child,726
Q381194,Q160115,parent - child,5684
Q554301,Q129407,parent - child,577
Q3877258,Q129407,parent - child,577
Q455578,Q130683,parent - child,1588
Q10625133,Q145682,parent - child,2931
Q467408,Q146444,parent - child,89
Q467408,Q146724,parent - child,89
Q146724,Q146830,parent - child,89
Q467408,Q146830,grandparent - child,89
Q4116074,Q146906,parent - child,43
Q294365,Q146906,parent - child,43
Q7918225,Q146929,parent - child,2557
Q146724,Q147395,parent - child,89
Q467408,Q147395,grandparent - child,89
Q547893,Q147663,parent - child,502
Q151754,Q147663,parent - child,502
Q9682,Q147663,grandparent - child,502
Q80976,Q147663,grandparent - child,502
Q11897741,Q149578,parent - child,2271
Q12239367,Q149636,parent - child,3712
Q131690271,Q149703,parent - child,2124
Q314784,Q149724,parent - child,1622
Q2914533,Q149724,parent - child,1622
Q12178921,Q149941,parent - child,271
Q15290211,Q149941,parent - child,271
Q1458282,Q150327,parent - child,3748
Q4926056,Q160318,parent - child,3270
Q1004037,Q160495,parent - child,697
